"Source:","/Users/shohei/Downloads/Untitled/Untitled.kicad_sch"
"Date:","2022 May 15, Sunday 12:43:07"
"Tool:","Eeschema (6.0.4-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","13"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4"
"","","C1","0.1u","Device:C","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~",""
"","","C2","0.1u","Device:C","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~",""
"","","C3","0.1u","Device:C","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~",""
"","","D1","1N4004","SparkFun-DiscreteSemi:DIODE-1N4148","Silicon-Custom:DIODE-1N4148","","DIO-08378"
"","","D2","1N4004","SparkFun-DiscreteSemi:DIODE-1N4148","Silicon-Custom:DIODE-1N4148","","DIO-08378"
"","","J1","ARDUINO","SparkFun-Connectors:CONN_05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","XXX-00000"
"","","J2","POT","SparkFun-Connectors:CONN_03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","XXX-00000"
"","","J3","MOTOR","SparkFun-Connectors:CONN_02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","XXX-00000"
"","","J4","TACHO","SparkFun-Connectors:CONN_02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","XXX-00000"
"","","J5","BAT","SparkFun-Connectors:CONN_02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","XXX-00000"
"","","Q1","IRF740","Transistor_FET:IRF740","Package_TO_SOT_SMD:SOT-23-8","http://www.vishay.com/docs/91054/91054.pdf",""
"","","R1","1.5k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
"","","R2","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4"
"1","3","C1, C2, C3","0.1u","Device:C","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~",""
"2","2","D1, D2","1N4004","SparkFun-DiscreteSemi:DIODE-1N4148","Silicon-Custom:DIODE-1N4148","","DIO-08378"
"3","1","J1","ARDUINO","SparkFun-Connectors:CONN_05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","XXX-00000"
"4","1","J2","POT","SparkFun-Connectors:CONN_03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","XXX-00000"
"5","1","J3","MOTOR","SparkFun-Connectors:CONN_02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","XXX-00000"
"6","1","J4","TACHO","SparkFun-Connectors:CONN_02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","XXX-00000"
"7","1","J5","BAT","SparkFun-Connectors:CONN_02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","XXX-00000"
"8","1","Q1","IRF740","Transistor_FET:IRF740","Package_TO_SOT_SMD:SOT-23-8","http://www.vishay.com/docs/91054/91054.pdf",""
"9","1","R1","1.5k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
"10","1","R2","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
